# External B 3D format
# NodeId  Bx(T)  By(T)  Bz(T)
108 -3.089922428131104 -0.0006795537192374  0.02188702486455441
109 -2.617078542709351  0.2783516943454742  0.36357828974723820
110 -2.957610130310059  0.1174227744340897  0.11630822718143460
111 -2.240966796875000  0.3397333323955536  0.32672497630119320
112 -2.371220588684082  0.3674644827842712  0.36362600326538090
113 -2.776382923126221 -1.3562252521514890  0.02124145627021790
114 -2.731202125549316 -0.9671610593795776  0.17296543717384340
115 -2.731354713439941 -0.5208392143249512  0.26595324277877810
116 -2.576148748397827 -1.7061924934387210  0.02156672812998295
117 -3.083128452301025 -0.2048395872116089  0.02142821624875069
118 -2.901811122894287 -1.0616672039031980  0.02132393978536129
119 -2.641777515411377  0.4432007968425751  0.34014186263084410
120 -3.089922428131104 -0.0084943640977144  0.02018083631992340
121 -3.073877334594727  0.3144920766353607  0.02173601649701595
122 -2.544922113418579 -1.3516058921813960  0.18300946056842800
123 -2.354904174804688  0.3338467180728912  0.36972996592521670
124 -3.032045364379883 -0.5952696204185486  0.02134539000689983
125 -3.080352306365967 -0.2430265247821808  0.02161875180900097
126 -2.710039615631104  0.5042416453361511  0.28509604930877690
127 -2.585185766220093 -0.0785193815827370  0.36563640832901000
128 -2.234599590301514  0.3774300217628479  0.32895410060882570
129 -2.998526573181152 -0.7459707260131836  0.02158883213996887
130 -3.089572191238403  0.0466814637184143  0.02153585851192474
131 -3.082447767257690 -0.2147945016622543  0.02189331687986851
132 -2.718891143798828  0.5799583196640015  0.27398625016212460
133 -2.266250133514404  0.0759630650281906  0.32006311416625980
134 -3.035748004913330  0.5760841369628906  0.02148838154971600
135 -3.053014755249023  0.4761928915977478  0.02100089192390442
136 -2.988731622695923 -0.7843181490898132  0.02069478482007980
137 -2.374338150024414  0.5432472825050354  0.38080304861068730
138 -2.216655492782593  0.4772590100765228  0.32056489586830140
139 -2.788013219833374  0.1702609956264496  0.25844034552574160
140 -2.926153898239136  0.7524475455284119  0.04783062264323235
141 -2.858143329620361  0.5653560161590576  0.16151674091815950
142 -3.051982641220093  0.4827250540256500  0.02188827097415924
143 -3.006012201309204  0.7152026891708374  0.02180217020213604
144 -3.069959163665771  0.3506901562213898  0.02160610072314739
145 -2.373630762100220  0.3847226798534393  0.37249669432640080
146 -3.070704698562622 -0.3441558182239532  0.02071786485612392
147 -2.578064918518066 -1.7033069133758540  0.02066227979958057
148 -2.988731622695923  0.7843181490898132  0.02069478482007980
149 -2.419898271560669  0.5774375200271606  0.38969591259956360
150 -2.228232622146606  0.4151266813278198  0.32672497630119320
151 -2.828606128692627 -1.2436519861221310  0.02043440192937851
152 -3.079433202743530 -0.2544336915016174  0.02132083661854267
153 -2.390436410903931  0.6561194062232971  0.37611362338066100
154 -3.018693923950195  0.6596791148185730  0.02025214768946171
155 -2.194872379302979  0.5646976232528687  0.32825535535812380
156 -2.487065315246582  0.3266121745109558  0.37651190161705020
157 -2.340652465820313  0.6645494103431702  0.38321083784103390
158 -2.293571472167969  0.5248728990554810  0.35838282108306880
159 -2.677702665328979  0.8026577830314636  0.26320078969001770
160 -2.988384008407593  0.7856110334396362  0.02182045392692089
161 -3.088249921798706  0.1018327921628952  0.02101980708539486
162 -2.239461421966553  0.3555112481117249  0.32019412517547610
163 -2.997415542602539  0.4465150535106659  0.04149840027093887
164 -3.018693923950195 -0.6596791148185730  0.02025214768946171
165 -2.677369117736816  0.6653653383255005  0.29176804423332210
166 -3.070211172103882  0.3484759330749512  0.02162331528961658
167 -2.731202125549316  0.9671610593795776  0.17296543717384340
168 -3.037596225738525  0.5662549734115601  0.02153650484979153
169 -3.079363346099854  0.2553213536739349  0.02077756449580193
170 -2.961221218109131  0.8825007677078247  0.02146381698548794
171 -2.911397457122803  1.0350865125656130  0.02146689221262932
172 -2.951314210891724  0.9150765538215637  0.02189218997955322
173 -2.183320999145508  0.6078484654426575  0.32822120189666750
174 -2.226437568664551  0.7072283625602722  0.35430178046226500
175 -2.978791713714600  0.8212366104125977  0.02169119194149971
176 -2.556756496429443  0.9590145945549011  0.30605927109718320
177 -2.964261293411255  0.8722261190414429  0.02182874456048012
178 -2.335121870040894  0.5521977543830872  0.36362600326538090
179 -2.959979534149170  0.8866460323333740  0.02189567126333714
180 -3.089922428131104  0.0084943640977144  0.02018083631992340
181 -2.646069526672363  0.9097575545310974  0.25961926579475400
182 -2.852334499359131  1.1881979703903200  0.02176045253872871
183 -2.147372722625732  0.7278558611869812  0.32111769914627080
184 -2.674214124679565  0.6686954498291016  0.28509604930877690
185 -2.363275289535522  0.9005678892135620  0.38882902264595030
186 -2.121888637542725  0.8064734935760498  0.32016107439994810
187 -2.135085344314575  0.7606706023216248  0.32694131135940550
188 -2.828606128692627  1.2436519861221310  0.02043440192937851
189 -2.163483381271362  0.6769861578941345  0.32423728704452510
190 -2.245847225189209  0.9391611218452454  0.38065534830093380
191 -2.281563043594360  0.8338658213615417  0.37923479080200200
192 -2.335427045822144  1.0048369169235230  0.37402519583702090
193 -2.693947076797485  1.1765203475952150  0.13790643215179440
194 -2.139575242996216  0.8739989399909973  0.34509477019310000
195 -2.958737850189209  0.8907912969589233  0.02146381698548794
196 -2.180899143218994  0.6204974651336670  0.32056489586830140
197 -2.122344255447388  0.7946975231170654  0.32895410060882570
198 -2.792928934097290  1.3218072652816770  0.02176841720938683
199 -2.743704557418823  1.4211733341217040  0.02126550674438477
200 -2.905975341796875  1.0502130985260010  0.02145008742809296
201 -2.985069036483765  0.7981445789337158  0.02069478482007980
202 -2.794754028320313  1.3179419040679930  0.02189556881785393
203 -2.529515027999878  1.2811446189880370  0.23301455378532410
204 -2.329360485076904  0.8477968573570251  0.37611362338066100
205 -3.015096426010132  0.6759315133094788  0.02025214768946171
206 -2.473300695419312  1.0067396163940430  0.33869847655296330
207 -2.828888893127441  1.2429870367050170  0.02171307615935802
208 -2.544922113418579  1.3516058921813960  0.18300946056842800
209 -2.395527362823486  1.1557564735412600  0.35095691680908200
210 -2.133384943008423  0.9204709529876709  0.34860825538635250
211 -2.109603166580200  0.8287244439125061  0.32694131135940550
212 -2.789708614349365  1.3285902738571170  0.02176230400800705
213 -2.664421796798706  1.5022495985031130  0.00905729178339243
214 -2.693623304367065  1.0673609972000120  0.17296543717384340
215 -2.263813972473145  1.1082491874694820  0.38503104448318480
216 -2.578064918518066  1.7033069133758540  0.02066227979958057
217 -2.673908948898315  1.5161652565002440  0.00724630663171411
218 -2.576148748397827  1.7061924934387210  0.02156672812998295
219 -2.503161907196045  1.3575534820556640  0.22070316970348360
220 -2.097315788269043  0.8615391254425049  0.32111769914627080
221 -2.060964345932007  0.9514395594596863  0.32016107439994810
222 -2.739022254943848  1.4301774501800540  0.02121144346892834
223 -2.822238445281982  1.2580351829528810  0.02043440192937851
224 -2.574056863784790  1.7093423604965210  0.02189567126333714
225 -2.246980428695679  1.1895362138748170  0.37402519583702090
226 -2.571965217590332  1.7124922275543210  0.02156672812998295
227 -2.490069150924683  1.4501805305480960  0.18300946056842800
228 -2.570049047470093  1.7153778076171880  0.02066227979958057
